@relation 'dataset_100 _14th'

@attribute userid numeric
@attribute gender {female,male}
@attribute family {single,familywithboykids,family,familywithgirlkids}
@attribute profession {itfield,business,educational,homemaker}
@attribute gardening {FALSE,TRUE}
@attribute painting {TRUE,FALSE}
@attribute interiordesign {TRUE,FALSE}
@attribute cooking {FALSE,TRUE}
@attribute reading {TRUE,FALSE}
@attribute music {TRUE,FALSE}
@attribute item1 numeric
@attribute item2 numeric
@attribute item3 numeric

@data
52,male,single,business,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,123479,123504,123514
53,male,single,homemaker,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,123485,123459,123514
54,male,familywithgirlkids,homemaker,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,123477,123529,123540
55,female,family,itfield,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,123469,123516,123554
56,male,single,itfield,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,123479,123504,123566
57,male,familywithboykids,educational,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,123534,123497,123566
58,female,family,business,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,123504,123516,123469
59,female,familywithgirlkids,business,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,123507,123527,123540
60,male,single,educational,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,123497,123485,123532
61,female,familywithgirlkids,educational,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,123527,123497,123554
62,female,single,business,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,123479,123489,123504
63,female,familywithgirlkids,educational,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,123463,123566,123542
64,male,familywithgirlkids,business,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,123463,123503,123477
65,female,single,itfield,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,123479,2,123532
66,female,familywithgirlkids,educational,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,123477,123463,123497
67,female,single,educational,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,123489,123459,123514
68,male,single,educational,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,123497,123479,123552
69,female,family,itfield,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,123474,123490,2
70,female,family,educational,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,123485,123503,123554
71,male,familywithboykids,educational,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,123566,123560,123552
72,female,familywithboykids,business,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,123490,123463,123527
73,female,family,business,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,123514,123566,123469
74,female,family,educational,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,123474,123485,123516
75,male,familywithgirlkids,homemaker,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,123477,123463,123542
76,male,familywithboykids,business,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,123566,123486,123561
77,male,single,itfield,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,123479,123503,2
78,male,familywithboykids,homemaker,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,123514,123534,123489
79,female,family,homemaker,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,123529,123554,123485
80,female,family,educational,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,123489,123503,123519
81,female,familywithgirlkids,educational,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,123463,123554,123542
82,male,single,homemaker,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,123552,123479,123489
83,male,familywithgirlkids,itfield,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,123463,123477,123507
84,male,single,educational,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,123566,123497,123479
85,female,family,itfield,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,123474,123490,1
86,female,single,itfield,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,123489,123479,123566
87,female,familywithboykids,itfield,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,123463,123534,123507
88,male,familywithboykids,homemaker,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,123561,123477,123560
89,male,single,educational,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,123514,123497,123504
90,male,single,business,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,123552,123497,123503
91,female,single,homemaker,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,123527,123529,123519
92,male,family,business,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,123466,123485,123566
93,male,single,homemaker,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,123552,123554,123485
94,female,single,homemaker,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,123489,2,123529
95,female,familywithgirlkids,homemaker,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,123477,123554,123490
96,female,family,itfield,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,123516,123504,123485
97,female,familywithgirlkids,business,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,123463,123477,123486
98,female,single,business,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,123503,123532,123479
99,female,single,business,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,123507,2,123459
100,female,family,business,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,123561,123514,123466
